SAQA Qual ID,QUALIFICATION TITLE,QUALIFICATION TYPE,SAQA LINK,NQF LEVEL,CREDITS,QUALITY PARTNER ,ATTACHMENTS
112825,Aids to Navigation Technician,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=112825,NQF Level 4,55,TETA,"Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/-dj25VZ2D9pIUAFL1atxdg/wsXaQipBSrGyrnxMKZq96zrHAGOpie7HGL00MdmKe9zFzKmEF7lXu9_3F5V88MERAupVz2rCK92YUmVMsVtULx7PYqbTANcClKmFi1ubU1XbrZ8erHQ89zYpasoT7ZwcZAA-j0_GjJQ5URyJvXKFEVOkfXEjJ-BcOkkENwPUKNE/X1Q9KgF9vMjgqp3OYCWwWGdcDumcYlpljwYyTh0Qj1E),Curriculum Summary Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/i1CnKmnT8notVCcuC_IF7w/_0f3sZ0WtFluzcglW_eE8sRMPeIV6JeEVoswAzi5ZXLSB0vFIIw-H3vjxIIsoXUk0wGAIDPvLPL_5ZmvdFv1TjwVq8tUqsZTocbp-q2RXzZfm3V5t_eBy6t8_5OxWMFnnFBYv3uSO3IUMV75CbSCZ75dadgUPMdxsasLIx3-SK4/73NmBp_7nTmSJUBrpnJeaxqDCV8nI2vl_aqltSk0S5s)"
103272,Air Conditioning and Refrigeration Certificate of Conformity Verifier,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=103272,NQF Level 4,142,MERSETA ,"External Assessment Specifications.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/3iaWCdyNuEJlvB_krx5SXg/QGyuMUumDv1rLshuwA0wC64Kk6IbPgX-z4cnMdBswOqSmUYN0E4yUihtnjV2izP2Lx-jMt7qJXf2raWFrm89gGDGSiwBSuqR5gSZtBD2OnXdvTu8uDQWR7y7RrbqYtyNcA05rPQaEsD-ecQV2gTn7vuumTxyjRDjLaq7v9QYY_A/KchjUH_hah_KzTjsXzT_eoM0w5czRIDtMPLepIZz0kk),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/EGuhRe-9zTw2BpS--AqCVg/vvz4F32_etqIDOswUib1Qo85Hp90NJ2ol8PueNPaV2i184O64ZH5Kujaq225VX36Yt8eVuGEZmPhGNdNKVb8LFJu3yGaY9oEEA5NmvNWjACclDtQrlS-xzllvEs8ClMj-2EssSETJiOouWsl12MMvmhwYNWlp3rzlKnj8DoaOBg/-wJfzKCmRSSvDuPB8qEZ3RDXva_Iz9-2aT3TU5YdYr4)"
103276,Air Conditioning and Refrigeration Compliance Verifier,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=103276,NQF Level 4,146,MERSETA ,"External Assessment Specifications.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ZuLo9VDtFzuxu17t6lHqYg/xbXhDg9vygMl21ngP1fGJHsVMlkkm4dZ9HFUW36pN-O5ULGWbfSDDI12-aCu9qRIHg8SVI_9P-SYgJBEju690Ep_taTs4UEg7oUNYIqoyF2LIfhyjGsvxhBN1lKCRbexVERmuU0V_CpRWjBNWNC5C5iD3ueQNmknvSzuA--1QW0/bIDW5QJDjkWFFiK-6BBU7SltCCpTs9lfPBakISj0b3g),Air Conditioning and Refrigeration Compliance Verifier-Curriculum Document .pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/NPMLwHHe6sOzNxq2RQnLAQ/Q5q6392rnYdjrTVd52Yxh5ybdsvKyWqDFmhwjlb6kaaeqwb5RrBe43UIL68CIQHHcncUTkjWIVD83a2zki8LUSn_WrAPkc0XJwT5nGhwkNIu6P5Lo6NDh2EdzsHANlBWJEsgTNiah_Y26sPH8bWRnk8rZVO-804ba3NTM370K-tqGgGK-S9tWX4qZOnRBXyJ6mNhk36N6a--yukLAQYLh5as1UOA4U7dlRuf2QYlHrg/Hemv1PSkw5xq0OOfANuaryZDJSqHVQSusBNJL5ztKgg)"
103277,Air Conditioning and Refrigeration Mechanic,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=103277,NQF Level 4,641,NAMB,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/aLDer8T_TQdjA4ThWves8Q/RznMBClkj8zHQsGBUfH1UF-j0DQhEWUOoCN_N1aJEIJxUnLw_QkmhbxmKHoWjNjjD4etkNZCu2k3Cyl-ENBhdf1GXs2ITpfSR2_Pc_Y4yEi4qjvCSVQrYN-KwZhlOMB-S6FCugt4AGUz2F38FGziUW8OViZwJIdEpWLa-xj2bqs/WthF2Hm8NxaKnOLFvAJJ5TSGKMtJbhq8jhoC5fxd6pc),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/m6b0cf2x7N2Sk0tyL-LUtw/BWfrXleSfBhxcH1JjZW6YQmNOIveZ3ymRMsbSsASA_1cQEgXzBTwvRFl0HHAlrhex9d74gdAUbZ3eQo-8cZWgUR6xvf91NWmQ2GzMzc4ei2qPeKRYBmyM5E9wqs9Qy2kin92CW3Ec7kOr1gZBXY7TPy75hqcsE-L0Ixd2i-fUGU/9z1JJQEk9E8XDN-BauaMBa0yknAep6uwfgAqn_HzMfc)"
103278,Air Conditioning and Refrigeration Systems Pipework Installer,Occupational Certificate,https://qspe.saqa.org.za/viewQualification.php?id=103278,NQF Level 2,83,MERSETA,"EAS - Air Condidtioning.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/66W-7TDJjbxnWj_nAsP0wQ/_MM5AzTtVkXZvLv7BMeFY_uQYk3U3zQrPHHnp99ChgE0vT9dSbG_-8TIvfQdilhzhAuFef5Ut5QDh_Bib7grHtzlk8rtSPjvYKGjf3j56RDC2IifMPJs8PjRvBNiJRhFgUv753Ww3GaHkxMlLrfWEpHf_xkNWdSGtiBFCb1bROk/AO9JTTh83gbmhvRVEBYK3ulsOVWSQciUFsBWjNX7HZU),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/okBm8Ea2u8Lwwx3wuiKtlg/kkPMRpcY6adCm9Dv1U-2kKjynDqFtVYjKnKU_Doww_kXg_R-kI17rw8ixcd9jTGxJ6CEzSnqe7wlBT_oAUuTSqkqUwf7Qr26cokKUtN2rO5qRQEL7dMO9YYsOj9lERMQgax-DqcG1V1p8ZttDlk7VrFcyVbtfxfzkBXzBRKCVMY/dZUhQbBcU2ZW_Qob_3tzWUR2iAvPgqbr5Hr3wsirw_s)"
104618,Air Conditioning Filtration Equipment Worker,Occupational Certificate,https://qspe.saqa.org.za/viewQualification.php?id=104618,NQF Level 3,61,MERSETA ,
122010,"Air Quality
  Authorisation and Management Specialist","Occupational
  Certificate",https://allqs.saqa.org.za/showQualification.php?id=122010,NQF Level 7,88,LGSETA ,"EASDocument.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Rvkcfc2WRQjaJc4IJnaFRw/zUESFovFaVglJf8VoKlPcVmGDVl8E5CMq7ztIuuIuliyzdNA3Zierue2NT1Jyq2fQAwYYlWlRNyQtRaQjAgnP5oikUH_ZyKiPIB9v72dKrk9RVrFFKUb5LPQaemeIpK01_xfCs-Qtf4OLZGqbbJcHyPx5CH_R7_HVyycDRz0t5A/9Q3QEkjsS8DJV5S4i3wdvrSgN1P6ok_orMGfql4oM1Q),CurriculumDocumentwithsignedcoverpage.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/-WbGLbyzB773TBoT8gMbGA/l5us2Udgz-BvJr7_Z4WjFrw4YqzKYI-Hy1xFyf4k9XDb1gMfVq0Jsx-tn-bHJwFIsAA9vK2s0ePqg8gddgUBPBDvefw_GqOUtwYEiWOY7tXzKHSSUS3S8DEkATfsv-TbLJ00QwHgj6gNohyZOQALjE0YfkIjfBueSI9aye0qQU9tWk89WfUTsQEHmNkZwmKM/Xl-eLuJ1iU9oWZndONQbpDVgc4P1jfNWrD09upbMnnM)"
122009,"Air Quality
  Policy and Planning Specialist","Occupational
  Certificate",https://allqs.saqa.org.za/showQualification.php?id=122009,NQF Level 7,28,LGSETA ,"EASDocument.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Y56yeainbIXE3S544JZwww/wS-F6dC-Vuy8BigclHpspwOhBZLpAptZGdLywfvn3saIBdZIe2gSEXzbY5ljaBJ0-z5Sglv2W8mu2_DFs5YHM215E-0SHIIDj9p2Ug5ufvu1QHZvIj-cvLlKJCGQU1qdzvQKsIPQ8pmOJaTzJDo_pKK4Y7HGe43BmZEXwz7Merc/cxkPLqxM01kIxfuGHRfi1TGiG9YgiWxnOVouL0ZZnv4),CurriculumDocumentwithsignedcoverpage.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Y9HBh5a2_EQep0BzT0oMmQ/T5zb2c0cAPsqGbLp-3_usBMgWt7x6aUbp7mIH42TbXBGAE7T7dL_vlUMkMZkVGPHOA013fZsyTihsef4s5NU5SaMEbBlxnZyO6yg5te4PcqAI0f3qsJMmsvNG2Zmt8o5qV17Vq3fpZkJbpvsjaEPHaRrYLOcLn8HIjHdd2vrsD9aPz4CWZaDQm0BOj0rmkIQ/hnMD_d-t5pK_gGmAKLHsM-QR3cYg0X_xRE_i7EQvl2g)"
122008,Air Quality Analyst,Occupational Certificate,https://regqs.saqa.org.za/viewQualification.php?id=122008,NQF Level 7,120,LGSETA ,"EAS Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ENAJkQL3k7s4NLhKRLUwlA/1faPgpWx3-5zZVmlULBU3fNrpHPhXwkEwwIrqz-u9YbZG1Wxl7BBrqWDCiu9iZnhtaNgH1uo_-HbLBd2MdZy-odueq-Y1tjRyPnPuG6Rm0SpCC0sGb4pF5ryZIqRGMAg60d8m8w0AC8UXTqTsJELVWXO19QQfuy1eyMiJQQLdW8/ZPpT7D5cnClWH2qZ5_7tyJqMmUMAqjtV1BM_m8sCYoE),Curriculum Document with signed cover page.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/26pz6pUl3asPsEENXPAcKw/5VMOkhtZGlHGZyQzB0Eoi6hAtQEIE_Il8mvXfIvCrZ1Hz0r1q63QRqjHYET2YJ7ZDllNvjTBk-DDCzpFJkKiw5pL0uk60job226cPauerQjNF3UslEQM97_4a6rFrwYqQwnwuJp6CbyWSpOjP9ip7lm9325t1hCP-TmOfMuN4jeMZZa18n8SbN5KNxspAs87/gcdeOxr_sqeAb3xI4GWirqQNEaA5yNM5CSptp_8_RMg)"
122011,Air Quality Monitoring and Information Management Specialist,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=122011,NQF Level 7,92,LGSETA ,"EASDocument.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/HLEw3OS9Dd1bGnvXxfsrlg/hR-5uFQSg7mFcy4TxBTIlqTl3DRLqx1M3ZOhk-gLrlKsicn_RGH_A1K3j5KspvS4H_4-QQZYTRxGAXAso3dXO8DZdk9DCsuBrzxmNbHajHQRXvDuptrqs-9DUw72TggPRTyxRdP-na7SbeaWcNb3G3QJLbMP2xoORls7lcv-z9A/vmKBOJgr4Gf0jIr4LWXt4HJpHqGlx8FwU3Vl7y7-jVs),CurriculumDocumentwithsignedcoverpage.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/cr7EgDBSNvV08lelizMGYQ/P4_r_kMvqO74sjkEgcj0A2TQuywlpecg77uqdrdNOQAe6zU7WgRUNH-rv9Y1cLLSe3ZSTauylV6bVEIwsJU5Iz2zgogdVogDvNQue4ta2yM5nc1SYPj69ZoikzYyONVo77nVx2G-fTUt00NgnI-BNY1937bjbc6kOznq2RWrbiJf060h1uWMug7fsboUZI8T/I4bVUpVAeqCdAmI0kJkQLPPhaURbx9akLtGORdxmc2o)"
