SP ID,Skills Programme Title,NQF Level,Credits,Attachments
"
  SP-240203
  ",Advanced End User Computing,5,20,"SP Curr Advanced End User Computing 5 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ieJsTFyHQ2DXPFvKZwu7iQ/DGjWLNhSRvQgeBsG8ujNzwsas27Cy-YU37CBPiPIQdZrlu1rIwbptWM0oRLm-9O0c3sfFIbZSmMuaYCnx9wbiO4gNe2NCcxta5WIztXFHmJAfp3x_GZ__GcrnnLKhmgdh6pqtr5GTVIMUWIux34O5z2pV4icoHCOHNnaQBgDnvDpCMX3eH9aInQqp7GUZDx5/-9lPGVmJu_9hIIciNJRak4uubwE_hf1Xfl7g9QzYklU),SP Doc Advanced End User Computing 5 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/g82gBf7WReuDyZchAkSKAg/QhJE5W__ounKof9z-8dN7xs2GOwSXWx3EVNP1H29i7UAiDPAFFn4dS0m_S87AqCOkm1-Cu1qOqViBJLIRQ2g91SPfK9zcSFxf1lnREKR76kVSib5FkF1gh25jfRcVbUseVuvpl2H-t1Rv34IDev_K74-MXrqSjCt0JT4iU8q003ZaGa8HpNnfnDIGWwZyym_/zT2i53THSmcW7YYx5L_ApzEHZDUzeq7owfNdpqMe8k8)"
SP-250601,Advanced Occupational Health and Safety (OHS) Compliance Ensurer,6,5,"SP Curr Advanced OHS Compliance Ensurer 6 5.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/mQFf9nm0xQhA9D4N6DGJuw/hw_bC2Q3FOUhEDWV-_lVujlUffVofgsbiTJkcOkeTWJ8ATtRQEJjzC564VjDsOnFzVv9XlkN9j6bvZq97BJQu2KPhzbosL_2X60aMchu1TebvwgrsO80NUDA3HTO75AEE0bD1sBSGNzZSHUKfrUs2DcOLxHrzi8TQy9eOCqcETlkw0UEJh1NFZzdaGyfij6l/qu45rFmiLPhCt0DOOXPNMllfqiOrB6dCww6Upw709hc),SP Doc Advanced OHS Compliance Ensurer 6 5.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/QYbYTr5FdWAq07KuRRd1Ow/OaGvkufk7b6aYO8liTUJL0twbvvaZTqOKhcrKL6DiwI4XMvsfXRfDR8TxknWUodatuMsTiM3ENMezqVqRUCoiYLzPFTzBxQ62GLXoT-I9epi89oWg4_tWgCjD78ukU3C__14DDwFuOstr5Ra4SfSi6yRVDQ8_qZByS6xBe5sIXuqUXWKMWHybhflEFh-71OX/_hZvu28Ovf68YYVZedZTzNEKB09ifkLLnUEKa2-gY4k)"
SP-250309,Advanced Photographic Image Creator ,5,60,"SP Curr Advanced Photographic Image Creator 5 60.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Ua6A9rtU72AKLwb-ycx4hg/8n8hy4OxOf5FpBOKZ8yvvL3P_IXB1mSxGUZ2sWYpM9HE3BK8acpi_naJwlqfi6NYaH2hk-ZIn_4-1uDSGywxIlj5lbE4k9uRQoZQrzBN6RCocnqycg1gzemvM_VXiVJyTyMRAcLvbCKGOIevhLECuw0Qh-joJg16iDBkMuos6Yn3JxwmL9RaCwqomLPK2FUk1KvArb1mqZ9FsIAa_WJP5A/pETPPEPODjDMhp4moHvooMye37KfzpZNMrCzjwF4yUY),SP Doc Advanced Photographic Image Creator 5 60.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/VbtqhJiZZGzYBm3jcY9yKQ/CikfCy-ZEOB4yhptrWYmfQgfIsTxasChnsrar8hsN23saF-xTznpSjebzYv93tUYkIy0mAP99dl_9F3Ngu_jiML0_gbbGA_LFlcoIjXowjNFrzJ8JsF8ad5N9xOd0Fe4xFF5AUq8Gl27Cq8uGdDJ7DiYpyBLbct7MItzuVKU6YT-F_CF_iYp-jhB_xQnq6sPhOwxLc0JuPeAyipNxzI2sA/7PFtnTE866awc7VGOjDXkoWyd_CB-eCPtkzqapFdMLs)"
SP-220902,Aerial Chainsaw Operator,3,36,"SP Curr Aerial Chainsaw Operator 3 26.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ZcoOF32tCDY7diWf1NzaVA/Sy0u_d1g-W2wrZt62BnhVc7-r-QQC_u0z47S38VAG2VZDrBQbhkXsPKKZtXESomuPc9Yb0wk-oalUGo9PJMsfErHUPmYA3RVNh0ztOet9jAIOIzntOTAP7d1h-1GYO0Uk83o57KJqBzGWbxZTRnmTGthGiQKuaY7xu5gvK-vZQc/lqXWFNPLCmzvDZSS42_VmZnJwbl8zsRlT1UWdmcKGy0),SP Doc Aerial Chainsaw Operator 3 36.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/gg0HZ1WOclKe17xgmjamKw/6sLvTDYZgMQKCMiFTCm1ZSVKtOzSYHQI9IKq16LPS353Csid0nGm8RVxzbQf8HBkmZO_Ww2rOVOfFMonz8Z8NupL9m69anAMlBoI7AfGUxV36qchvskLnNJUHHCuK2Hvy_hgwnRdszlzWf-pLXQnyDtbSa6kTXkspppLiK2n22E/q8ERlYzDPCjjWlHoSPva-BNi_cIPVQQSBn6g1_-1FHI)"
SP-250123,Air Transport Dangerous Goods Practitioner,5,52,"SP Curr Air Transport Dangerous Goods Practitioner 5 52.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/TVrEsd_isfP0rLYsqC8c5Q/shxtv0TytyqTuZE-mbqdxqAkP9TMcP0S9rsU5yAbcFMr1ISn-VbOswBwZK0uhLfitBmB-J5UTxVlRQdTdz33cuDXhW9lWoVF5gz6zTwCLo58ueeKdN4sBkjd8C7ElGd1c9gbazG2qXBqxnaYwXpqvRPhJDSMaXI5_icKngeQ1xlGv5W-UCl9m7nIyIFVhRKyOZgqHb3P_1VxMMqtLDWofA/6WqrvHKTVaDuJFVUKLvrL8zDnemkVn6g8yyKp67ocyU),SP Doc Air Transport Dangerous Goods Practitioner 5 52.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/SSJ2N71QVquTfAZN6SdiTg/sneMqG5nZ2iC5Wm4ow5bJ67xRM07LUPlreLDkX4uxOhKymxBKHzIfictkE2RuZlgoc_EPBXuqfhTDuhVtIc6OR3U3c2IVctM_q9zT8gZXKCLDH-J8W65oo5U9A6crwMpUbvCPIn3sVZwe9C7uP87nUwkLYyb7IEoiez1vQzTI4hCLkpEBhdQiMoFiY-hDy2HnGnFz7PncltwZ204YWsD4w/AmglT89GmgYr_-LRqcktk4ROyj0G769GMKlpUDQwGSE)"
SP-250113,Backfill Plant Operator ,2,24,"SP Curr Backfill Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/hQVJHLaqZgDJZYEKm7YuwA/wwE02GR13DCxYq0k1hEpFG2zNs849fl3GWGjRr2syxr8ZMbuyvyupKurNX6Fkjn19NuQ1o7F-MRTl47uYaR1jGG6yA7SyN2AkM3J6WETYM7qiFfmiXBBvjtp4vMf5SgYFIomBhJ4Uj3zHHxkdO_jl2gFubyCKm-m3CCxdsLhOp0uJ93moH0KGKOO8IlSttJR/oTQ8JEb4t-Ad9846bI-6mvTPQeTJoj8GEQqu5yjC1yM),SP Doc Backfill Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/H3SUjG48vJaaCf5Kq63Vrw/reuB6YGq_Mi8diBAX_toRG3EoPfgEpSvOvSC5OshHXRqrGhZmroy9CBVfYcPq52jvKI-vUXN9HE0_EDVo03WS_seItnfk6qAPiB01fXs9-JpvZtVY7obKaIQrT3Y1Mm6Vfywf5iuC1ZjGXLR4jaZ8-h_igammr0KFQCLACBBGkgWBjSJtTjq1R4nW6gRHTEz/6-9ixSNkYmemRGP9MFLeiWeSYK7UiwELepgxlCVf4EU)"
SP-230801,Basic Emergency First Aid Responder,2,2,"SP Curr Basic Emergency First Aid Responder 2 2.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/u9sF2utViSgaOc0aMmuQ8g/XZXmhWAwkm_X6N7LgaQp-93-RO3BGKDVEQ-D7jx7cp1vwqgLI1GCZKSwzJir1_kO-_U_8YnsRP66u_m4PxbItRwz4WHWbwJVSslJzCXsrMKIM28a5Tvt7HftnjSzjKJofW-kZ8tb_ds_4dYB0vOb0JYER7X7H5IqolE0dLRQUnVo2Y0WPYnJtwERJ77qJNGo/vbgTQ2OVNrzcdOmlpR6irD4PmP4NheFi3f5l4TpZ5F0),SP Doc Basic Emergency First Aid Responder 2  2.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Noj8OPFKJ1ODYoZC44nWDA/0hu00EItGWHahB-57bvVUkt8cGRBfyI5Cl-RMb7KONfKkWY3WkxhNC1MPLjdueQN0YeWKG3fjwbh11vNZuxO8ocJl0UbUA5Xgj2icpPb1R-fyUWThYXXKw9GKpcd59rO5NXpwGCrlBVjYxEc4PgeFyU5jYANkbZOgBBz4qvj_qskxB-T4jQkNyTsWRVlhk2i/xdNe5RGCac7uUNhWr4vO_IjJ6R72HjXublwTc-ShB9k)"
SP-191210,Basic Kitchen Appliance Repairer,2,27,"SP Curr Basic Kitchen Appliance Repairer 2 27.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/2hOau7uS3tQW9ACVk5R96Q/Xuoip_hkwQOdnVg3RCxQvlwvTTzauUAZKourD0m3kRrhoa5JD9GwY4YQIjvACDQrCFufcjpT3zPFl1_oSuF4VjKUvYyByEnS19zArmOYqFYNGI1Gpc3pWHU8ov256yXZpw5KmRODn4uWZRZ6ryop47kHDLn0t6eW1uJ1thuyIr1hVWd4hfb3bzjnY7JWBQD_/fTX6dOC2ihY-nQOb74mL6DWuoMbJIWtOpDoCCCr_zBY),SP Doc Basic Kitchen Appliance Repairer 2 27.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/gbOj8cIOm3HSgxOEMBCkGg/T6HrYAPc2t0EKnrnskq7AN5PuYzxmn-Ze3yb-QVO9IoFFDYOL66WRgqAP-yVNcFfdsQiaCKLUNM15Pr-_RPUDNGXFH9vtFwiWn-dMaW1ZErW8MdjkDGJtVdksJpWEYnJtwS7hXV7bLz5asBPjwBBLf1U-Uuh34b_-CXx-y_frBAvVaqckkP-HQF_O8pRhd5D/J-qv3_pr-8hFU5kOaUS0pCbfNIVCzorGtnTPMBiaNtU)"
SP-250115,"Carbon-In-Pulp, Carbon-In-Leach Plant Operator ",2,24,"SP Curr Carbon-In-Pulp Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/QOONCuOxSA9Um4dLxH6IQg/F6cZ8RaqnoSIFO1r_Rvcjf5juqUPWe2hr1GgYuE1eSgS3VMT6I4Agb7guykmMULZhBbxW0_kVLFYa8cMHa3atx3oNQwV-8OKAMStviEtAprizBMATBxDS--uarqMbIJO6KVMLhl8PVZVXyV8-X3tvp0IVddpWesMfVa86cpiWHkQCqIMQQ_TtcFBaEy7ILYg/ZKKq1DMWOjowEBcQ2rlIOJchRGoWXNV2y1Ywf5wJLUk),SP Doc Carbon-In-Pulp Carbon-In-Leach Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/6JED4pztLSzy4iW8_paeVQ/xOFvHM-N9Iig-7hN18TlG5rKBSnB0yJEWEtAno-qMov5MCZ2DzpRY0u-1sFCajHQYYQQU8rUXnp1cOMKcO7bTe7kR0g5HjLHOh4XIGNeMBIvl9-YFBKHlniFgs4HN0UiwOa6gSd2bCya3i2LPRhBXOHhvQYDUrA2EZbgVbmYEPLH_NilWImp2Qw9loSMBo6zjz8D26bpPWdWSikdeVChBg/gJm2hsNwsfvdW5edObfGZpia_nTHBuNYLOcI6zcZJR4)"
SP-220901,Chainsaw Operator,2,23,"SP Curr Chainsaw Operator 2 23.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/WLxEzOlRrW3BW_8_sxb9XQ/aqfitERVZFVf8ngISLa_N5tl4xMC-Z1el0xjl-sIfestS4wLGUazqdP4G30iMDSiNWmn43kV1It_PXqtEiZRg0LdmsMUp_ww-fADQIBBVM7xubHvVH6ealkQJP3L5i3YhMHbpwSQ2gb75659NSEas42KUv1tER-TS7o0-v0NcA4/GHv9Bpj7pwR-K3KCHzBLXfRwboTgJRE-VaR-41y7VMk),SP Doc Chainsaw Operator 2 23.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/E2gTpUyOqLwjoOFJZNwTzQ/z8x26NprO39zfY5M9h1IwrQK12QMOI9hsJeevGUaTtbQxCdbbkwGZ7MmkFm9Oo4kGZc6ZFqp5jdH4jV7vuqS2gNIT60_j_F0xv3tyi5le6EuuuEfr13jc3_jaIJPRncZVMS-Xogr5R4eHJABQunqZIbqhoNEB2ZU_NroJBK1AaU/tjdar_65cW_38vaXauA9_k2v0hPbwxKQa2F8ox-MuWA)"
SP-250121,Converting Plant Operator,2,24,"SP Curr Converting Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/SN7PsK_7KMRGHE5yFoHEjA/HnjHrw-pbTWUuD53T-HDnTGTJKSTD543C_him8zJ7jaMi-QkgFMUYh7PkP48tYZPiTiEwQE7aoRu0VcHthoIOMwMq-sP-fw5QKChfohCdijX92kk5yhslBh9_A5Yuj8bfAY83qi0hf3sHqRbrfL986vrYnXCIbmbcDO7hp4K35q4au7z31mNW6gh3iCw09ED/9cRL6YP7WuPcBz1gyVnRL5cY3trKjnFmRX24oNobrFI),SP Doc Converting Plant Operator  2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/MNRSUCnAl8HQ3CiIfruYcQ/6OfhgRORJ6u4LeZgeRb1vL5w6lJhT_QnEe558vNzdAr7BHxG7IKAygzlY5sxhFtKYal7Z-ehlBKidMNE-jvwgWomBg_bnaurIlAodvYisicZhhgPu9fWEisJ5Km1jDzdTajBI1t4hot9p7YTYXb2DUZcvx2YP0uPcNDeDzoQCdeKSqip9K04knnGYHhYMviN/Zqd4gGYqQ4H_assLfgoAUf20pB-YTu4j0vsmRI3bMNg)"
SP-250101,Conveying Plant Operator,2,24,"SP Curr Conveying Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/MYzT9KPDC9-c3IJMA12MgQ/kfbUPM6lC3b6vJmjnsAqPTMG4XnETav868lfRVxLkWp0q7E1RL4Emhk2lfO3cGbBpbCSST_K-wSwxDd3wu7BvKh13YX9BpwTfTch4f0PJc9eX75rpuR0y2_rYRjLOfnmfKpf04ebhnNAEcRLfTzqg6VOjuP6hH4INfZGLrXa1EipG1NdBem6hWGDeHVwfJSb/pppW-Sx6KtPUkV2u8akRjKnlNDUSm6Xdis0NuJ2Rmv0),SP Doc Conveying Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/CVlo5l8iWCF4d9QuqY5WiQ/7vLlYAKUuJbhKnFU9TisKTe5ZlLaBeUo2vV2dVxEj5yHz49veN2P-KFiQAOYs08O9v86WZj0b_1Sm52UyCrbSUtwEDJN-_0IdlPJWKE96oh6WSdDtBbdAlintFpJWwNtbMQJUMiHZVDSMA5S1q1Gb1vm4t2X6ln19UE0wUTjRI_29B5qH_Xw3DMoJj24ksfA/YyXYrN7SxrwYE9mS0DuTXbK6sYHGqgDHsNdX99iorYw)"
